x (m),y (m),dy/dx,residuo_numerico,y_polinomio,diferenca_abs
0.00000000,15.00000000,-0.69771915,0.00000001,14.99991565,0.00008435
0.01000000,14.99302531,-0.69721927,0.00000000,14.99294229,0.00008302
0.02000000,14.98605561,-0.69671952,0.00000000,14.98597392,0.00008169
0.03000000,14.97909092,-0.69621988,0.00000000,14.97901054,0.00008038
0.04000000,14.97213122,-0.69572035,0.00000000,14.97205215,0.00007907
0.05000000,14.96517651,-0.69522095,0.00000000,14.96509873,0.00007778
0.06000000,14.95822680,-0.69472166,0.00000000,14.95815031,0.00007649
0.07000000,14.95128208,-0.69422248,0.00000000,14.95120686,0.00007521
0.08000000,14.94434235,-0.69372343,0.00000000,14.94426840,0.00007395
0.09000000,14.93740761,-0.69322449,0.00000000,14.93733491,0.00007269
0.10000000,14.93047786,-0.69272567,0.00000000,14.93040641,0.00007145
0.11000000,14.92355309,-0.69222696,0.00000000,14.92348288,0.00007021
0.12000000,14.91663332,-0.69172837,0.00000000,14.91656433,0.00006898
0.13000000,14.90971853,-0.69122990,0.00000000,14.90965076,0.00006777
0.14000000,14.90280872,-0.69073154,0.00000000,14.90274216,0.00006656
0.15000000,14.89590389,-0.69023330,0.00000000,14.89583853,0.00006536
0.16000000,14.88900405,-0.68973517,0.00000000,14.88893988,0.00006417
0.17000000,14.88210919,-0.68923716,0.00000000,14.88204620,0.00006299
0.18000000,14.87521931,-0.68873927,0.00000000,14.87515748,0.00006182
0.19000000,14.86833440,-0.68824149,0.00000000,14.86827374,0.00006066
0.20000000,14.86145448,-0.68774383,0.00000000,14.86139497,0.00005951
0.21000000,14.85457953,-0.68724628,0.00000000,14.85452116,0.00005837
0.22000000,14.84770955,-0.68674885,0.00000000,14.84765231,0.00005724
0.23000000,14.84084455,-0.68625154,0.00000000,14.84078844,0.00005611
0.24000000,14.83398452,-0.68575434,0.00000000,14.83392952,0.00005500
0.25000000,14.82712946,-0.68525725,0.00000000,14.82707557,0.00005389
0.26000000,14.82027938,-0.68476028,0.00000000,14.82022658,0.00005280
0.27000000,14.81343426,-0.68426343,0.00000000,14.81338255,0.00005171
0.28000000,14.80659411,-0.68376669,0.00000000,14.80654347,0.00005063
0.29000000,14.79975892,-0.68327007,0.00000000,14.79970936,0.00004956
0.30000000,14.79292871,-0.68277356,0.00000000,14.79288020,0.00004850
0.31000000,14.78610345,-0.68227716,0.00000000,14.78605600,0.00004745
0.32000000,14.77928316,-0.68178088,0.00000000,14.77923675,0.00004641
0.33000000,14.77246783,-0.68128472,0.00000000,14.77242246,0.00004537
0.34000000,14.76565747,-0.68078866,0.00000000,14.76561312,0.00004435
0.35000000,14.75885206,-0.68029273,0.00000000,14.75880873,0.00004333
0.36000000,14.75205161,-0.67979691,0.00000000,14.75200929,0.00004232
0.37000000,14.74525612,-0.67930120,0.00000000,14.74521480,0.00004132
0.38000000,14.73846559,-0.67880560,0.00000000,14.73842526,0.00004033
0.39000000,14.73168001,-0.67831012,0.00000000,14.73164066,0.00003935
0.40000000,14.72489938,-0.67781476,0.00000000,14.72486101,0.00003838
0.41000000,14.71812371,-0.67731951,0.00000000,14.71808630,0.00003741
0.42000000,14.71135299,-0.67682437,0.00000000,14.71131654,0.00003645
0.43000000,14.70458723,-0.67632935,0.00000000,14.70455172,0.00003550
0.44000000,14.69782641,-0.67583443,0.00000000,14.69779184,0.00003456
0.45000000,14.69107054,-0.67533964,0.00000000,14.69103691,0.00003363
0.46000000,14.68431961,-0.67484495,0.00000000,14.68428691,0.00003271
0.47000000,14.67757364,-0.67435038,0.00000000,14.67754185,0.00003179
0.48000000,14.67083261,-0.67385593,0.00000000,14.67080172,0.00003088
0.49000000,14.66409652,-0.67336159,0.00000000,14.66406654,0.00002998
0.50000000,14.65736537,-0.67286736,0.00000000,14.65733628,0.00002909
0.51000000,14.65063917,-0.67237324,0.00000000,14.65061097,0.00002821
0.52000000,14.64391791,-0.67187923,0.00000000,14.64389058,0.00002733
0.53000000,14.63720159,-0.67138534,0.00000000,14.63717512,0.00002646
0.54000000,14.63049020,-0.67089157,0.00000000,14.63046460,0.00002560
0.55000000,14.62378375,-0.67039790,0.00000000,14.62375900,0.00002475
0.56000000,14.61708224,-0.66990435,0.00000000,14.61705834,0.00002390
0.57000000,14.61038567,-0.66941091,0.00000000,14.61036260,0.00002307
0.58000000,14.60369402,-0.66891758,0.00000000,14.60367178,0.00002224
0.59000000,14.59700731,-0.66842437,0.00000000,14.59698590,0.00002142
0.60000000,14.59032554,-0.66793126,0.00000000,14.59030493,0.00002060
0.61000000,14.58364869,-0.66743827,0.00000000,14.58362889,0.00001980
0.62000000,14.57697677,-0.66694539,0.00000000,14.57695777,0.00001900
0.63000000,14.57030978,-0.66645263,0.00000000,14.57029157,0.00001821
0.64000000,14.56364772,-0.66595997,0.00000000,14.56363029,0.00001743
0.65000000,14.55699058,-0.66546743,0.00000000,14.55697393,0.00001665
0.66000000,14.55033837,-0.66497500,0.00000000,14.55032249,0.00001588
0.67000000,14.54369108,-0.66448268,0.00000000,14.54367596,0.00001512
0.68000000,14.53704871,-0.66399048,0.00000000,14.53703435,0.00001437
0.69000000,14.53041127,-0.66349838,0.00000000,14.53039765,0.00001362
0.70000000,14.52377875,-0.66300640,0.00000000,14.52376586,0.00001288
0.71000000,14.51715114,-0.66251453,0.00000000,14.51713899,0.00001215
0.72000000,14.51052846,-0.66202277,0.00000000,14.51051703,0.00001143
0.73000000,14.50391069,-0.66153112,0.00000000,14.50389998,0.00001071
0.74000000,14.49729783,-0.66103958,0.00000000,14.49728783,0.00001000
0.75000000,14.49068989,-0.66054815,0.00000000,14.49068060,0.00000929
0.76000000,14.48408687,-0.66005683,0.00000000,14.48407827,0.00000860
0.77000000,14.47748876,-0.65956563,0.00000000,14.47748085,0.00000791
0.78000000,14.47089556,-0.65907454,0.00000000,14.47088833,0.00000723
0.79000000,14.46430727,-0.65858355,0.00000000,14.46430071,0.00000655
0.80000000,14.45772389,-0.65809268,0.00000000,14.45771800,0.00000588
0.81000000,14.45114541,-0.65760192,0.00000000,14.45114019,0.00000522
0.82000000,14.44457185,-0.65711127,0.00000000,14.44456728,0.00000457
0.83000000,14.43800319,-0.65662072,0.00000000,14.43799927,0.00000392
0.84000000,14.43143943,-0.65613029,0.00000000,14.43143615,0.00000328
0.85000000,14.42488058,-0.65563997,0.00000000,14.42487794,0.00000265
0.86000000,14.41832663,-0.65514976,0.00000000,14.41832461,0.00000202
0.87000000,14.41177758,-0.65465966,0.00000000,14.41177619,0.00000140
0.88000000,14.40523344,-0.65416967,0.00000000,14.40523266,0.00000078
0.89000000,14.39869419,-0.65367979,0.00000000,14.39869402,0.00000017
0.90000000,14.39215984,-0.65319002,0.00000000,14.39216027,0.00000043
0.91000000,14.38563039,-0.65270036,0.00000000,14.38563141,0.00000102
0.92000000,14.37910583,-0.65221081,0.00000000,14.37910744,0.00000161
0.93000000,14.37258617,-0.65172137,0.00000000,14.37258836,0.00000219
0.94000000,14.36607141,-0.65123204,0.00000000,14.36607417,0.00000277
0.95000000,14.35956153,-0.65074282,0.00000000,14.35956487,0.00000333
0.96000000,14.35305655,-0.65025370,0.00000000,14.35306045,0.00000390
0.97000000,14.34655646,-0.64976470,0.00000000,14.34656091,0.00000445
0.98000000,14.34006126,-0.64927581,0.00000000,14.34006626,0.00000500
0.99000000,14.33357094,-0.64878702,0.00000000,14.33357649,0.00000555
1.00000000,14.32708551,-0.64829835,0.00000000,14.32709160,0.00000608
1.01000000,14.32060497,-0.64780978,0.00000000,14.32061159,0.00000662
1.02000000,14.31412932,-0.64732132,0.00000000,14.31413646,0.00000714
1.03000000,14.30765855,-0.64683297,0.00000000,14.30766621,0.00000766
1.04000000,14.30119266,-0.64634473,0.00000000,14.30120083,0.00000817
1.05000000,14.29473165,-0.64585660,0.00000000,14.29474033,0.00000868
1.06000000,14.28827553,-0.64536858,0.00000000,14.28828471,0.00000918
1.07000000,14.28182428,-0.64488066,0.00000000,14.28183396,0.00000968
1.08000000,14.27537791,-0.64439285,0.00000000,14.27538808,0.00001016
1.09000000,14.26893642,-0.64390516,0.00000000,14.26894707,0.00001065
1.10000000,14.26249981,-0.64341757,0.00000000,14.26251094,0.00001113
1.11000000,14.25606807,-0.64293009,0.00000000,14.25607967,0.00001160
1.12000000,14.24964121,-0.64244271,0.00000000,14.24965327,0.00001206
1.13000000,14.24321922,-0.64195545,0.00000000,14.24323174,0.00001252
1.14000000,14.23680210,-0.64146829,0.00000000,14.23681507,0.00001298
1.15000000,14.23038985,-0.64098124,0.00000000,14.23040328,0.00001342
1.16000000,14.22398247,-0.64049430,0.00000000,14.22399634,0.00001387
1.17000000,14.21757996,-0.64000746,0.00000000,14.21759427,0.00001430
1.18000000,14.21118232,-0.63952074,0.00000000,14.21119706,0.00001474
1.19000000,14.20478955,-0.63903412,0.00000000,14.20480471,0.00001516
1.20000000,14.19840164,-0.63854760,0.00000000,14.19841722,0.00001558
1.21000000,14.19201860,-0.63806120,0.00000000,14.19203459,0.00001600
1.22000000,14.18564042,-0.63757490,0.00000000,14.18565682,0.00001641
1.23000000,14.17926710,-0.63708871,0.00000000,14.17928391,0.00001681
